nome;idade;e-mail
Carolina da Silva;35;carolina.sil@gmail.com
gabrielly rezenDe;43;gabi_rezende@google.com
Bernardo Dias;70;bernardodias@aws.com
helena gonçalves;23;helena.gonçalves.gmail.com
Renan Caldeira;61;renan_calDEIRA@google.com
Lucca Lopes;46;lucca.com.br
André Ribeiro;39;andré_ribeiro.outlook.com.br
João Marcelo;32;joão_ma@outlook.br
Joana da Luz;22;joluz@google.com.br
Vicente Moreira;19;vicente.moreira@maxxi.com
Camila d' Rocha;51;milarocha@gmail.com
Elisa Monteiro;30;Elisa_mo23@yahoo.com.bre
Daniela Dias;43;danidias@maxxi.com
danIel Gomes;20;danieldias@aws.com
Heitor Nogueira;64;nogueira_heitor@gmail.com
